Date,Open,High,Low,Close,Adj Close,Volume
2014-11-21,1303.000000,1316.969971,1293.000000,1308.150024,1150.945557,122572
2014-11-24,1306.030029,1328.119995,1306.030029,1326.099976,1166.738159,135504
2014-11-25,1325.000000,1340.000000,1310.000000,1317.380005,1159.066040,78402
2014-11-26,1310.000000,1326.300049,1308.800049,1314.380005,1156.426636,69672
2014-11-27,1314.500000,1329.500000,1313.000000,1324.569946,1165.392090,56702
2014-11-28,1330.000000,1344.000000,1318.000000,1321.550049,1162.734985,103518
2014-12-01,1321.500000,1350.000000,1321.500000,1346.569946,1184.748169,122492
2014-12-02,1346.000000,1354.500000,1323.569946,1328.030029,1168.436279,116194
2014-12-03,1330.569946,1334.050049,1309.500000,1317.530029,1159.198120,124802
2014-12-04,1332.000000,1332.500000,1310.000000,1318.319946,1159.893311,71026
2014-12-05,1323.000000,1324.000000,1287.500000,1289.219971,1134.290039,129922
2014-12-08,1292.500000,1293.880005,1252.750000,1256.849976,1105.810181,178734
2014-12-09,1260.000000,1279.219971,1256.219971,1258.719971,1107.455444,109626
2014-12-10,1256.000000,1265.500000,1249.300049,1255.199951,1104.358765,93182
2014-12-11,1255.900024,1261.469971,1242.650024,1246.280029,1096.510498,107098
2014-12-12,1249.500000,1260.930054,1213.500000,1227.849976,1080.295166,202122
2014-12-15,1196.900024,1196.900024,1178.219971,1181.400024,1039.427368,239616
2014-12-16,1175.000000,1228.819946,1174.119995,1221.569946,1074.770020,232422
2014-12-17,1225.000000,1235.949951,1202.849976,1222.150024,1075.280273,133894
2014-12-18,1225.500000,1233.250000,1218.119995,1229.530029,1081.773682,88266
2014-12-19,1232.000000,1260.119995,1232.000000,1254.469971,1103.716431,100908
2014-12-22,1266.400024,1266.400024,1237.569946,1256.500000,1105.502197,80760
2014-12-23,1259.099976,1267.500000,1248.069946,1258.530029,1107.288574,62280
2014-12-24,1258.000000,1259.250000,1236.969971,1240.569946,1091.486450,75618
2014-12-26,1242.500000,1255.449951,1233.349976,1252.750000,1102.203003,87044
2014-12-29,1252.550049,1267.500000,1252.550049,1262.349976,1110.649658,52376
2014-12-30,1262.500000,1271.150024,1257.750000,1265.650024,1113.552612,47486
2014-12-31,1263.000000,1280.000000,1263.000000,1277.349976,1123.846680,52082
2015-01-01,1277.180054,1281.750000,1271.000000,1274.099976,1120.987183,35272
2015-01-02,1273.619995,1294.500000,1273.619995,1285.430054,1130.955811,177124
2015-01-05,1296.500000,1299.530029,1263.500000,1268.949951,1116.456055,130358
2015-01-06,1263.500000,1263.500000,1220.030029,1223.280029,1076.274170,176418
2015-01-07,1230.250000,1239.500000,1203.699951,1208.400024,1063.182495,281004
2015-01-08,1222.500000,1225.000000,1211.530029,1221.930054,1075.086670,105244
2015-01-09,1225.000000,1259.000000,1225.000000,1256.099976,1105.150146,192712
2015-01-12,1260.000000,1264.500000,1240.430054,1256.030029,1105.088745,129186
2015-01-13,1257.650024,1265.000000,1240.119995,1249.150024,1099.035522,94802
2015-01-14,1251.780029,1265.400024,1251.500000,1259.069946,1107.763672,82250
2015-01-15,1260.969971,1291.750000,1260.969971,1272.500000,1119.579712,1897278
2015-01-16,1270.000000,1272.500000,1242.000000,1265.949951,1113.816650,367472
2015-01-19,1265.949951,1276.349976,1251.449951,1254.880005,1104.077026,93902
2015-01-20,1263.449951,1264.819946,1241.619995,1249.780029,1099.589844,180204
2015-01-21,1258.000000,1259.500000,1245.050049,1255.680054,1104.780640,120524
2015-01-22,1255.949951,1260.400024,1247.500000,1256.380005,1105.396606,109956
2015-01-23,1252.500000,1265.000000,1247.550049,1250.849976,1100.531250,115804
2015-01-27,1259.949951,1259.949951,1245.050049,1251.400024,1105.433960,104384
2015-01-28,1251.500000,1271.530029,1250.680054,1267.349976,1119.523315,171742
2015-01-29,1267.500000,1279.199951,1256.050049,1270.680054,1122.465210,105674
2015-01-30,1272.500000,1287.469971,1235.069946,1240.500000,1095.805298,301548
2015-02-02,1241.050049,1260.000000,1232.250000,1256.400024,1109.850586,101692
2015-02-03,1250.500000,1280.000000,1250.500000,1277.400024,1128.401001,182210
2015-02-04,1282.500000,1284.819946,1251.719971,1257.000000,1110.380859,96438
2015-02-05,1257.500000,1295.000000,1257.500000,1275.949951,1127.119995,462972
2015-02-06,1276.000000,1296.000000,1275.949951,1288.000000,1137.764648,140984
2015-02-09,1287.500000,1287.500000,1250.500000,1257.569946,1110.884155,114180
2015-02-10,1252.500000,1262.099976,1218.000000,1221.469971,1078.994995,303682
2015-02-11,1230.000000,1243.800049,1224.000000,1230.069946,1086.591797,111550
2015-02-12,1239.500000,1239.500000,1224.000000,1231.400024,1087.766846,87110
2015-02-13,1235.000000,1273.380005,1230.880005,1269.319946,1121.263428,208820
2015-02-16,1275.000000,1296.719971,1275.000000,1292.619995,1141.845825,171790
2015-02-18,1293.500000,1320.000000,1282.780029,1316.949951,1163.337769,252552
2015-02-19,1324.000000,1342.500000,1317.500000,1339.849976,1183.566895,160138
2015-02-20,1340.050049,1347.469971,1321.930054,1337.430054,1181.429199,114720
2015-02-23,1336.949951,1359.949951,1335.780029,1347.530029,1190.350952,124512
2015-02-24,1348.750000,1363.500000,1340.800049,1353.569946,1195.686646,155542
2015-02-25,1354.000000,1361.469971,1334.000000,1335.650024,1179.856934,90696
2015-02-26,1337.500000,1347.099976,1313.150024,1328.180054,1173.258057,100572
2015-02-27,1326.500000,1335.449951,1309.119995,1331.880005,1176.526489,116408
2015-02-28,null,null,null,null,null,null
2015-03-02,1337.550049,1353.500000,1326.619995,1335.069946,1179.344360,82386
2015-03-03,1335.000000,1395.000000,1335.000000,1387.349976,1225.526489,234874
2015-03-04,1387.500000,1405.000000,1358.969971,1371.699951,1211.701904,178838
2015-03-05,1374.000000,1384.069946,1343.000000,1348.180054,1190.925171,155622
2015-03-09,1320.000000,1340.119995,1305.900024,1321.569946,1167.418823,170774
2015-03-10,1321.619995,1337.300049,1297.680054,1321.400024,1167.269043,194476
2015-03-11,1319.780029,1330.680054,1300.500000,1304.680054,1152.499268,159988
2015-03-12,1308.000000,1312.400024,1295.500000,1309.500000,1156.756958,116044
2015-03-13,1312.500000,1319.300049,1286.069946,1290.530029,1139.999756,141250
2015-03-16,1291.000000,1304.969971,1278.250000,1282.680054,1133.065308,87322
2015-03-17,1290.099976,1302.750000,1278.969971,1290.449951,1139.929321,97638
2015-03-18,1295.000000,1299.449951,1277.250000,1280.349976,1131.006958,91332
2015-03-19,1292.500000,1303.000000,1284.599976,1297.199951,1145.891479,103054
2015-03-20,1300.000000,1308.380005,1294.650024,1304.819946,1152.622803,201954
2015-03-23,1305.500000,1315.380005,1303.500000,1305.280029,1153.029297,71220
2015-03-24,1310.969971,1318.000000,1291.030029,1296.780029,1145.520508,118228
2015-03-25,1299.500000,1307.000000,1272.619995,1286.550049,1136.484009,217838
2015-03-26,1278.900024,1293.050049,1250.819946,1256.680054,1110.098145,92698
2015-03-27,1265.500000,1285.619995,1253.430054,1258.099976,1111.352417,122936
2015-03-30,1262.500000,1281.300049,1259.050049,1278.619995,1129.478882,78396
2015-03-31,1280.000000,1283.699951,1259.569946,1273.530029,1124.982422,129270
2015-04-01,1282.500000,1282.500000,1261.250000,1271.699951,1123.365967,349360
2015-04-06,1277.500000,1280.219971,1251.819946,1273.000000,1124.514404,120978
2015-04-07,1284.000000,1296.000000,1273.619995,1293.050049,1142.225830,102886
2015-04-08,1294.000000,1326.000000,1290.619995,1322.180054,1167.958008,109442
2015-04-09,1339.400024,1341.969971,1317.569946,1330.569946,1175.369385,135952
